test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_obfuscation_clean_within_dataset_clean,obfuscation_clean,no,yes,dataset_clean,spam_archive,Qwen,evidence,P2,46,46,34,24,12,22,0.7391304347826086,0.5217391304347826,73.91304347826086,52.17391304347826,0.21739130434782605,21.739130434782606,0.3850267379679144,4.665314401622718,1.0,17.0,Pearson chi-square,0.030777787889069628,0.7078891214486014,0.18651473312593944
between_obfuscation_clean_within_dataset_clean,obfuscation_clean,no,yes,dataset_clean,nazario,Llama,label,P2,34,34,24,31,10,3,0.7058823529411765,0.9117647058823529,70.58823529411765,91.17647058823529,-0.2058823529411764,-20.58823529411764,4.305555555555555,4.66013986013986,1.0,6.5,Pearson chi-square,0.030870676784035028,0.7078891214486014,0.18651473312593944
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,no,Llama,evidence,P2,34,46,34,40,0,6,1.0,0.8695652173913043,100.0,86.95652173913044,0.13043478260869568,13.043478260869568,0.0,4.794359576968272,1.0,2.55,Fisher exact,0.035646309054037234,0.7129261810807447,0.13468805659038033
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,yes,Llama,guided,P1,34,46,33,37,1,9,0.9705882352941176,0.8043478260869565,97.05882352941177,80.43478260869566,0.1662404092071611,16.62404092071611,0.12457912457912458,4.939715016441359,1.0,4.25,Fisher exact,0.038184369248157456,0.7255030157149917,0.13468805659038033
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Qwen,evidence,P1,34,46,31,34,3,12,0.9117647058823529,0.7391304347826086,91.17647058823529,73.91304347826086,0.17263427109974427,17.263427109974426,0.27419354838709675,3.8245130828251033,1.0,6.375,Pearson chi-square,0.05050802122139263,0.7576203183208894,0.1212192509313423
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,no,Llama,label,P1,40,40,35,28,5,12,0.875,0.7,87.5,70.0,0.17500000000000004,17.500000000000004,0.3333333333333333,3.6601307189542482,1.0,8.5,Pearson chi-square,0.0557292605293342,0.7663981588032222,0.1114585210586684
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,no,Llama,evidence,P1,40,40,40,35,0,5,1.0,0.875,100.0,87.5,0.125,12.5,0.0,5.333333333333333,1.0,2.5,Fisher exact,0.05474272562880158,0.7663981588032222,0.1114585210586684
between_obfuscation_clean_within_dataset_clean,obfuscation_clean,no,yes,dataset_clean,spam_archive,Qwen,guided,P2,46,46,27,17,19,29,0.5869565217391305,0.3695652173913043,58.69565217391305,36.95652173913043,0.21739130434782616,21.739130434782616,0.4125159642401022,4.356060606060606,1.0,22.0,Pearson chi-square,0.036877489699473555,0.7744272836889446,0.18651473312593944
between_obfuscation_clean_within_dataset_clean,obfuscation_clean,no,yes,dataset_clean,spam_archive,Qwen,label,P1,46,46,28,37,18,9,0.6086956521739131,0.8043478260869565,60.86956521739131,80.43478260869566,-0.19565217391304346,-19.565217391304344,2.642857142857143,4.246153846153846,1.0,13.5,Pearson chi-square,0.039339328920780105,0.7867865784156021,0.18651473312593944
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2025,Llama,evidence,P1,40,40,35,40,5,0,0.875,1.0,87.5,100.0,-0.125,-12.5,inf,5.333333333333333,1.0,2.5,Fisher exact,0.05474272562880158,0.8211408844320237,0.1135173479199836
